number_draw,date,winning_number_1,winning_number_2,winning_number_3,winning_number_4,winning_number_5,winning_number_6,additional_number,Group 1 Share Amount,Group 2 Share Amount,Group 3 Share Amount,Group 4 Share Amount,Group 5 Share Amount,Group 6 Share Amount,Group 7 Share Amount,Group 1 No.winning,Group 2 No.winning,Group 3 No.winning,Group 4 No.winning,Group 5 No.winning,Group 6 No.winning,Group 7 No.winning,year,month,day_of_week,Odd,Even,1 to 9,10 to 19,20 to 29,30 to 39,40 to 49,Total,Average,SD,gap_mean,gap_sd,Total winners,consecutive numbers,count_repeated_numbers,repeated_numbers,repeated_numbers_1,repeated_numbers_2,repeated_numbers_3,repeated_numbers_4
3768,2022-05-26,6,11,30,34,43,45,2,0,236294,1826,446,50,25,10,0,1,89,199,4774,6520,87047,2022,5,Thursday,3,4,2,1,0,2,2,171,24.43,17.86,7.17,5.7,98630,0,0,0,0,0,0,0
3769,2022-05-30,8,13,19,34,37,47,29,2781563,87325,1716,375,50,25,10,1,4,140,350,6329,8735,123159,2022,5,Monday,5,2,1,2,1,2,1,187,26.71,13.98,6.5,2.63,138718,0,1,[np.int64(34)],34,0,0,0
3770,2022-06-02,12,19,26,28,46,49,41,0,237188,1664,466,50,25,10,0,1,98,191,4839,5244,88337,2022,6,Thursday,3,4,0,2,2,0,3,221,31.57,14.06,6.17,3.58,98710,0,1,[np.int64(19)],19,0,0,0
3771,2022-06-06,12,28,29,34,41,47,16,1379328,171791,2813,462,50,25,10,2,2,84,279,5935,8748,115382,2022,6,Monday,3,4,0,2,2,1,2,207,29.57,12.58,5.83,3.34,130432,1,3,"[np.int64(41), np.int64(12), np.int64(28)]",41,12,28,0
3772,2022-06-09,7,14,15,16,17,38,44,0,234345,1452,440,50,25,10,0,1,111,200,5759,6091,100004,2022,6,Thursday,3,4,1,4,0,1,1,151,21.57,13.77,6.17,7.08,112166,3,1,[np.int64(16)],16,0,0,0
3773,2022-06-13,3,5,12,16,30,45,49,2754037,172727,1320,331,50,25,10,1,2,180,392,9507,9558,165097,2022,6,Monday,4,3,2,2,0,1,2,160,22.86,18.72,7.67,5.06,184737,0,1,[np.int64(16)],16,0,0,0
3774,2022-06-16,2,7,16,18,24,45,36,1106742,58250,2003,363,50,25,10,1,4,80,241,5127,6008,96962,2022,6,Thursday,2,5,2,2,1,1,1,148,21.14,15.28,7.17,3.24,108423,0,2,"[np.int64(16), np.int64(45)]",16,45,0,0
3775,2022-06-20,20,25,28,33,40,49,1,0,0,1781,421,50,25,10,0,0,93,215,4108,6955,81090,2022,6,Monday,4,3,1,0,3,1,2,196,28.0,15.34,8.0,5.26,92461,0,0,0,0,0,0,0
3776,2022-06-23,24,27,32,38,46,49,11,0,188793,2017,474,50,25,10,0,3,111,258,5232,7850,101210,2022,6,Thursday,3,4,0,1,2,2,2,227,32.43,13.23,6.33,3.45,114664,0,1,[np.int64(49)],49,0,0,0
3777,2022-06-27,21,24,27,32,34,38,41,0,150516,2010,431,50,25,10,0,4,206,525,14075,14937,221365,2022,6,Monday,3,4,0,0,3,3,1,217,31.0,7.35,3.33,0.94,251112,0,4,"[np.int64(32), np.int64(24), np.int64(27), np.int64(38)]",32,24,27,38
3778,2022-06-30,2,15,17,27,41,48,38,2917988,85921,1745,377,50,25,10,4,15,508,1283,25166,35209,465917,2022,6,Thursday,4,3,1,2,1,1,2,188,26.86,16.47,7.67,4.07,528102,0,3,"[np.int64(41), np.int64(27), np.int64(38)]",41,27,38,0
3779,2022-07-04,2,3,9,27,28,38,15,0,81647,1116,201,50,25,10,0,3,151,459,7073,10975,117188,2022,7,Monday,4,3,3,1,2,1,0,122,17.43,13.84,6.0,4.12,135849,2,4,"[np.int64(2), np.int64(27), np.int64(38), np.int64(15)]",2,27,38,15
3780,2022-07-07,16,17,20,33,39,49,7,0,339873,2184,389,50,25,10,0,1,107,328,5880,10089,112032,2022,7,Thursday,5,2,1,2,1,2,1,181,25.86,14.86,7.0,4.12,128437,1,0,0,0,0,0,0
3781,2022-07-11,1,6,13,25,34,43,42,0,76001,1918,372,50,25,10,0,8,218,613,13650,16609,240867,2022,7,Monday,4,3,2,1,1,1,2,164,23.43,17.12,7.0,3.42,271965,1,0,0,0,0,0,0
3782,2022-07-14,8,10,15,36,39,44,9,5731299,101697,1515,319,50,25,10,2,12,554,1438,26324,39554,471689,2022,7,Thursday,3,4,2,2,0,2,1,161,23.0,15.92,6.0,6.9,539573,0,0,0,0,0,0,0
3783,2022-07-18,3,20,36,41,43,47,9,0,0,2017,477,50,25,10,0,0,84,194,3996,6194,73762,2022,7,Monday,5,2,2,0,1,1,3,199,28.43,17.64,7.33,4.75,84230,0,2,"[np.int64(9), np.int64(36)]",9,36,0,0
3784,2022-07-21,4,15,31,42,43,47,39,1417875,298500,1310,386,50,25,10,2,2,184,341,6789,8114,119981,2022,7,Thursday,5,2,1,1,0,2,3,221,31.57,16.16,7.17,5.15,135413,1,2,"[np.int64(43), np.int64(47)]",43,47,0,0
3785,2022-07-25,2,6,29,30,31,44,40,1194850,251548,2621,500,50,25,10,1,1,66,189,4912,5938,93143,2022,7,Monday,2,5,2,0,1,2,2,182,26.0,16.05,7.0,7.64,104250,2,1,[np.int64(31)],31,0,0,0
3786,2022-07-28,1,2,25,33,36,40,7,1149738,242050,2821,340,50,25,10,1,1,59,267,4298,7726,80612,2022,7,Thursday,4,3,3,0,1,2,1,144,20.57,16.84,6.5,5.56,92964,1,2,"[np.int64(40), np.int64(2)]",40,2,0,0
3787,2022-08-01,3,10,12,29,45,47,26,1255814,88128,2114,394,50,25,10,1,3,86,252,5308,7828,103316,2022,8,Monday,4,3,1,2,2,0,2,172,24.57,17.21,7.33,5.71,116794,0,0,0,0,0,0,0
3788,2022-08-05,14,18,24,37,43,45,8,5000000,115844,1927,369,50,25,10,1,9,372,1060,19848,30695,365676,2022,8,Friday,3,4,1,2,1,1,2,189,27.0,14.72,6.17,3.39,417661,0,1,[np.int64(45)],45,0,0,0
3789,2022-08-08,2,9,33,34,37,49,29,1151669,0,1985,448,50,25,10,1,0,84,203,4188,6568,82724,2022,8,Monday,5,2,2,0,1,3,1,193,27.57,16.43,7.83,6.47,93768,1,1,[np.int64(37)],37,0,0,0
3790,2022-08-11,10,12,16,18,32,44,22,0,0,2162,334,50,25,10,0,0,78,276,5275,8092,97051,2022,8,Thursday,0,7,0,4,1,1,1,154,22.0,12.11,5.67,3.9,110772,0,0,0,0,0,0,0
3791,2022-08-15,7,22,29,34,38,41,35,0,424599,2055,392,50,25,10,0,2,121,346,6789,9060,128467,2022,8,Monday,4,3,1,0,2,3,1,206,29.43,11.67,5.67,4.57,144785,0,1,[np.int64(22)],22,0,0,0
3792,2022-08-18,2,4,12,18,28,43,38,5634202,72426,1384,293,50,25,10,1,8,288,742,15793,18144,255883,2022,8,Thursday,1,6,2,2,1,1,1,145,20.71,16.13,6.83,2.85,290859,0,1,[np.int64(38)],38,0,0,0
3793,2022-08-22,5,20,23,36,42,44,47,0,0,1883,468,50,25,10,0,0,92,202,5132,5533,95866,2022,8,Monday,3,4,1,0,2,1,3,217,31.0,15.45,7.0,5.13,106825,0,0,0,0,0,0,0
3794,2022-08-25,3,5,13,23,24,48,10,0,600468,1489,291,50,25,10,0,1,161,450,8497,13013,148666,2022,8,Thursday,4,3,2,2,2,0,1,126,18.0,15.51,7.5,7.93,170788,1,2,"[np.int64(5), np.int64(23)]",5,23,0,0
3795,2022-08-29,4,8,9,15,22,31,13,0,37465,852,191,50,25,10,0,16,484,1180,21413,25059,314939,2022,8,Monday,4,3,3,2,1,1,0,102,14.57,9.25,4.5,2.75,363091,1,1,[np.int64(13)],13,0,0,0
3796,2022-09-01,1,18,28,42,43,48,45,11414547,200528,1822,394,50,25,10,1,6,454,1148,25173,32244,450598,2022,9,Thursday,3,4,1,1,1,0,4,225,32.14,17.41,7.83,6.2,509624,1,0,0,0,0,0,0
3797,2022-09-05,4,9,13,18,34,47,3,0,0,2208,307,50,25,10,0,0,78,306,5374,9447,98795,2022,9,Monday,4,3,3,2,0,1,1,128,18.29,16.45,7.33,5.31,114000,0,1,[np.int64(18)],18,0,0,0
3798,2022-09-08,1,8,11,12,22,46,35,2886318,607646,859,349,50,25,10,1,1,286,384,12544,11031,195078,2022,9,Thursday,3,4,2,2,1,1,1,135,19.29,16.08,7.5,4.31,219325,1,0,0,0,0,0,0
3799,2022-09-12,8,15,21,22,39,43,44,1241044,261273,2364,442,50,25,10,1,1,76,222,5207,6591,104041,2022,9,Monday,4,3,1,1,2,1,2,192,27.43,14.46,6.0,5.42,116139,2,2,"[np.int64(8), np.int64(22)]",8,22,0,0
3800,2022-09-15,13,15,27,29,38,45,40,0,125144,1739,393,50,25,10,0,2,99,239,4754,5767,88797,2022,9,Thursday,5,2,0,2,2,1,2,207,29.57,12.33,5.33,3.9,99658,0,1,[np.int64(15)],15,0,0,0
3801,2022-09-19,1,5,14,23,40,45,16,2872168,354380,1434,398,50,25,10,1,1,170,334,8073,10267,135530,2022,9,Monday,4,3,2,2,1,0,2,144,20.57,16.68,7.33,4.85,154376,0,2,"[np.int64(40), np.int64(45)]",40,45,0,0
