number_draw,date,winning_number_1,winning_number_2,winning_number_3,winning_number_4,winning_number_5,winning_number_6,additional_number,Group 1 Share Amount,Group 2 Share Amount,Group 3 Share Amount,Group 4 Share Amount,Group 5 Share Amount,Group 6 Share Amount,Group 7 Share Amount,Group 1 No.winning,Group 2 No.winning,Group 3 No.winning,Group 4 No.winning,Group 5 No.winning,Group 6 No.winning,Group 7 No.winning
3768,26/05/2022,6,11,30,34,43,45,2,-,"$236,294","$1,826",$446,$50,$25,$10,-,1,89,199,"4,774","6,520","87,047"
3769,30/05/2022,8,13,19,34,37,47,29,"$2,781,563","$87,325","$1,716",$375,$50,$25,$10,1,4,140,350,"6,329","8,735","123,159"
3770,02/06/2022,12,19,26,28,46,49,41,-,"$237,188","$1,664",$466,$50,$25,$10,-,1,98,191,"4,839","5,244","88,337"
3771,06/06/2022,12,28,29,34,41,47,16,"$1,379,328","$171,791","$2,813",$462,$50,$25,$10,2,2,84,279,"5,935","8,748","115,382"
3772,09/06/2022,7,14,15,16,17,38,44,-,"$234,345","$1,452",$440,$50,$25,$10,-,1,111,200,"5,759","6,091","100,004"
3773,13/06/2022,3,5,12,16,30,45,49,"$2,754,037","$172,727","$1,320",$331,$50,$25,$10,1,2,180,392,"9,507","9,558","165,097"
3774,16/06/2022,2,7,16,18,24,45,36,"$1,106,742","$58,250","$2,003",$363,$50,$25,$10,1,4,80,241,"5,127","6,008","96,962"
3775,20/06/2022,20,25,28,33,40,49,1,-,-,"$1,781",$421,$50,$25,$10,-,-,93,215,"4,108","6,955","81,090"
3776,23/06/2022,24,27,32,38,46,49,11,-,"$188,793","$2,017",$474,$50,$25,$10,-,3,111,258,"5,232","7,850","101,210"
3777,27/06/2022,21,24,27,32,34,38,41,-,"$150,516","$2,010",$431,$50,$25,$10,-,4,206,525,"14,075","14,937","221,365"
3778,30/06/2022,2,15,17,27,41,48,38,"$2,917,988","$85,921","$1,745",$377,$50,$25,$10,4,15,508,"1,283","25,166","35,209","465,917"
3779,04/07/2022,2,3,9,27,28,38,15,-,"$81,647","$1,116",$201,$50,$25,$10,-,3,151,459,"7,073","10,975","117,188"
3780,07/07/2022,16,17,20,33,39,49,7,-,"$339,873","$2,184",$389,$50,$25,$10,-,1,107,328,"5,880","10,089","112,032"
